"","first_name","last_name","team","floor_rank","ceiling_rank","tier","pos_ecr","overall_ecr","sd_pts"
"229","Britain","Covey","LAR",664,620,23,NA,NA,1.089711
"230","Ryan","Flournoy","DAL",654,628,23,192,NA,0.252042
"231","Elijah","Cooks","PHI",653,629,23,209,NA,NA
"232","Laviska","Shenault","BUF",680,617,23,202,NA,1.816185
"233","Trishton","Jackson","ARI",687,609,23,NA,NA,3.165351
"234","Deven","Thompkins","FA",656,630,23,NA,NA,NA
"235","Isaiah","McKenzie","FA",658,632,23,NA,NA,NA
"236","Nick","Nash","ATL",661,633,23,169.6,NA,NA
"237","Mitchell","Tinsley","CIN",662,634,23,119,NA,NA
"238","Rondale","Moore","MIN",666,635,23,NA,NA,NA
"239","Anthony","Gould","IND",668,636,23,186.75,NA,NA
"240","Jacob","Cowing","SFO",675,637,23,131.16,346.06,NA
"241","Kameron","Johnson","TBB",676,638,23,NA,NA,NA
"242","Dareke","Young","SEA",697,618,23,241,NA,3.387741
"243","Kevin","Austin","NOS",683,639,23,196,NA,NA
"244","Dee","Eskridge","MIA",699,626,23,198.2,NA,3.224655
"245","Michael","Woods","FA",684,640,23,172,NA,NA
"246","Zach","Pascal","NYG",686,641,23,206.25,NA,NA
"247","Isaiah","Neyor","GBP",686,641,23,NA,NA,NA
"248","Jimmy","Horn","CAR",688,644,23,135.38,344.2,NA
"249","Dez","Fitzpatrick","LAC",689,645,23,NA,NA,NA
"250","Bub","Means","NOS",690,646,23,155,291,NA
"251","Javon","Baker","NEP",691,648,23,152.29,301,NA
"252",NA,NA,NA,691,648,23,NA,NA,NA
"253","LaJohntay","Wester","BAL",693,650,23,174,NA,NA
"254","Nikko","Remigio","KCC",696,653,23,219,NA,NA
"255","Danny","Gray","FA",698,654,23,NA,NA,NA
"256","Brenden","Rice","LAC",700,656,23,NA,NA,NA
"257","Ramel","Keyton","FA",701,657,23,NA,NA,NA
"258","Andy","Isabella","FA",702,659,23,NA,NA,NA
"259","Jalen","Cropper","DAL",702,659,23,NA,NA,NA
